"age","gender","course","year","cgpa","workload_stress","main_stress_factor","multiple_assignments_feeling","exam_stress","stress_situations","performance_worry","reaction_to_workload","pre_exam_feeling","concentration_impact","fear_of_failure","pressure_feeling","confidence_level","stress_emotions","study_regular","study_routine","distraction_type","focus_duration","revision_frequency","procrastination_reason","study_method","performance_impact","stress_relief_activities","help_source","rank_exam_stress","rank_assignment_stress","rank_competition_stress","rank_family_expectation","motivation_level","exam_stress_num","study_regular_num","motivation_num","confidence_num","performance_impact_num"
"18-20","Female","Engineering/Technology","Second Year","9.0 and above","Sometimes","Exams","Stressed","High","Tight deadlines, Lack of preparation, Competition with classmates","Often","Feel overwhelmed and delay work","Anxious","Moderately","Rarely","Emotionally drained","Not very confident","Frustration, Lack of motivation","Occasionally","I study randomly","Social media","1–2 hours","Occasionally","Distractions","Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with family, Listening to music, Social Media","I handle it alone",1,3,4,2,"Motivated",1,2,2,4,3
"18-20","Female","Engineering/Technology","Second Year","8.0 – 8.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Moderate","Difficult subjects, Fear of failing","Often","Start working immediately","Slightly nervous","Slightly","Often","Mentally tired","Confident","Fear","Several times a week","I study randomly","Mobile phone notifications","1–2 hours","Occasionally","Distractions","Making notes, Group study, Using AI tools (e.g., ChatGPT)","Slightly negatively","Listening to music","Online resources",2,1,3,4,"Neutral",3,4,3,1,3
"18-20","Other","Science","Second Year","8.0 – 8.9","Never","Expectations from parents/teachers","Slightly pressured","Moderate","Expectations from family","Always","Make a study plan","Slightly nervous","Not at all","Rarely","Motivated","Neutral","Determination","Several times a week","I study randomly","Mobile phone notifications","30–60 minutes","Only before exams","Distractions","Using AI tools (e.g., ChatGPT)","No effect","Exercise or sports, Listening to music, Watching movies or entertainment","Online resources",4,3,2,1,"Very motivated",3,4,5,2,1
"18-20","Male","Engineering/Technology","Second Year","7.0 – 7.9","Rarely","Assignments and deadlines","Slightly pressured","Low","Difficult subjects","Rarely","Make a study plan","Relaxed","Not at all","Never","Motivated","Very confident","Anxiety","Daily","I study randomly","Friends & Family","30–60 minutes","Weekly","Too many assignments","Reading textbooks","Very negatively","Listening to music","Family",2,1,4,3,"Motivated",2,1,2,5,4
"21-23","Female","Engineering/Technology","Second Year","8.0 – 8.9","Often","Heavy coursework","Slightly pressured","High","Difficult subjects, Lack of preparation, Fear of failing","Often","Start working immediately","Anxious","Not at all","Very often","Mentally tired","Neutral","Anxiety, Frustration, Fear, Lack of motivation","Several times a week","I study randomly","Social media","Less than 30 minutes","Occasionally","Poor time management","Making notes, Using AI tools (e.g., ChatGPT)","Slightly negatively","Listening to music, Watching movies or entertainment, Social Media","Online resources",1,3,2,4,"Motivated",1,4,2,2,3
"18-20","Female","Arts","Second Year","7.0 – 7.9","Sometimes","Assignments and deadlines","Slightly pressured","High","Lack of preparation","Always","Start working immediately","Slightly nervous","Moderately","Sometimes","Slightly stressed","Not very confident","Anxiety, Fear","Only before exams","I study only during exams","Online entertainment","1–2 hours","Only before exams","Distractions","Making notes, Using AI tools (e.g., ChatGPT)","Slightly negatively","Watching movies or entertainment","I handle it alone",1,2,3,4,"Neutral",1,3,3,4,3
"18-20","Female","Science","Second Year","6.0 – 6.9","Sometimes","Exams","Slightly pressured","High","Expectations from family, Fear of failing","Often","Take a break before starting","Slightly nervous","Moderately","Often","Mentally tired","Neutral","Anxiety, Fear","Several times a week","I study randomly","Mobile phone notifications","30–60 minutes","Occasionally","Distractions","Making notes, Using AI tools (e.g., ChatGPT)","Slightly negatively","Exercise or sports, Listening to music","I handle it alone",2,3,4,1,"Neutral",1,4,3,2,3
"21-23","Male","Science","Second Year","6.0 – 6.9","Always","Exams","Slightly pressured","Very High","Difficult subjects, Lack of preparation","Sometimes","Take a break before starting","Anxious","Slightly","Sometimes","Mentally tired","Not confident at all","Anxiety","Daily","I plan but sometimes fail to follow it","Social media","More than 2 hours","Weekly","Poor time management","Reading textbooks, Making notes, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with friends, Talking with family, Listening to music, Watching movies or entertainment","I handle it alone",4,3,1,2,"Very motivated",4,1,5,3,3
"18-20","Female","Commerce","Second Year","9.0 and above","Often","Assignments and deadlines","Very stressed","Low","Tight deadlines","Rarely","Feel overwhelmed and delay work","Relaxed","Not at all","Rarely","Mentally tired","Confident","Frustration","Only before exams","I study only during exams","Social media","Less than 30 minutes","Only before exams","Distractions","Using AI tools (e.g., ChatGPT)","Slightly negatively","Watching movies or entertainment, Social Media","I handle it alone",1,2,3,4,"Neutral",2,3,3,1,3
"18-20","Female","Commerce","Second Year","8.0 – 8.9","Sometimes","Assignments and deadlines","Very stressed","Moderate","Tight deadlines","Never","Make a study plan","Relaxed","Slightly","Sometimes","Motivated","Confident","Anxiety, Lack of motivation","Only before exams","I plan but sometimes fail to follow it","Social media","Less than 30 minutes","Only before exams","Too many assignments","Using AI tools (e.g., ChatGPT)","No effect","Talking with friends","Online resources",3,2,1,4,"Motivated",3,3,2,1,1
"21-23","Female","Other","Second Year","7.0 – 7.9","Always","Heavy coursework","Stressed","Moderate","Difficult subjects","Sometimes","Start working immediately","Anxious","Slightly","Never","Mentally tired","Neutral","Frustration","Several times a week","I study randomly","Social media","1–2 hours","Only before exams","Poor time management","Using AI tools (e.g., ChatGPT)","No effect","Talking with family, Listening to music","Family",2,1,4,4,"Neutral",3,4,3,2,1
"21-23","Female","Engineering/Technology","Second Year","8.0 – 8.9","Often","Heavy coursework","Slightly pressured","Moderate","Expectations from family","Always","Start working immediately","Anxious","Slightly","Often","Mentally tired","Neutral","Lack of motivation","Several times a week","I study randomly","Social media","1–2 hours","Only before exams","Too many assignments","Making notes, Watching online lectures, Using AI tools (e.g., ChatGPT)","No effect","Talking with friends, Talking with family, Exercise or sports","Online resources",1,2,3,1,"Motivated",3,4,2,2,1
"21-23","Female","Engineering/Technology","Second Year","9.0 and above","Never","Assignments and deadlines","Slightly pressured","Moderate","Tight deadlines, Difficult subjects, Lack of preparation","Often","Start working immediately","Relaxed","Not at all","Sometimes","Motivated","Very confident","Anxiety","Only before exams","I study only during exams","Friends & Family","1–2 hours","Only before exams","Poor time management","Reading textbooks, Making notes, Using AI tools (e.g., ChatGPT)","No effect","Exercise or sports, Listening to music, Sleeping","I handle it alone",3,1,4,4,"Very motivated",3,3,5,5,1
"18-20","Male","Engineering/Technology","Second Year","6.0 – 6.9","Sometimes","Heavy coursework","Slightly pressured","Moderate","Difficult subjects, Lack of preparation","Sometimes","Make a study plan","Slightly nervous","Slightly","Sometimes","Slightly stressed","Not very confident","Frustration","Daily","I follow a strict study schedule","Mobile phone notifications","30–60 minutes","Weekly","Too many assignments","Reading textbooks","Positively (motivates me)","Talking with friends","Family",2,3,3,3,"Very motivated",3,1,5,4,2
"18-20","Female","Other","Second Year","8.0 – 8.9","Sometimes","Assignments and deadlines","Slightly pressured","Moderate","Tight deadlines","Sometimes","Start working immediately","Anxious","Not at all","Often","Motivated","Neutral","Anxiety","Several times a week","I study only during exams","Mobile phone notifications","Less than 30 minutes","Weekly","Too many assignments","Group study","Very negatively","Listening to music","Family",2,2,3,2,"Motivated",3,4,2,2,4
"18-20","Female","Engineering/Technology","Second Year","7.0 – 7.9","Sometimes","Competition with classmates","Slightly pressured","Moderate","Lack of preparation, Competition with classmates, Fear of failing","Often","Take a break before starting","Slightly nervous","Slightly","Sometimes","Slightly stressed","Neutral","Frustration","Several times a week","I plan but sometimes fail to follow it","Social media","30–60 minutes","Weekly","Distractions","Group study, Using AI tools (e.g., ChatGPT)","Slightly negatively","Exercise or sports, Listening to music, Sleeping","Online resources",4,3,4,3,"Neutral",3,4,3,2,3
"18-20","Female","Other","Second Year","8.0 – 8.9","Sometimes","Exams","Slightly pressured","High","Tight deadlines","Sometimes","Make a study plan","Relaxed","Slightly","Sometimes","Motivated","Not very confident","Fear","Occasionally","I follow a strict study schedule","Social media","1–2 hours","Occasionally","Poor time management","Watching online lectures","Positively (motivates me)","Watching movies or entertainment","Family",3,3,1,3,"Neutral",1,2,3,4,2
"18-20","Male","Arts","Fourth Year","6.0 – 6.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Moderate","Tight deadlines, Tight deadlines, Tight deadlines, Fear of failing","Sometimes","Make a study plan","Relaxed","Not at all","Sometimes","Slightly stressed","Neutral","Lack of motivation","Occasionally","I plan but sometimes fail to follow it","Online entertainment","30–60 minutes","Weekly","Poor time management","Making notes","Very negatively","Talking with family","Online resources",2,2,1,2,"Neutral",3,2,3,2,4
"18-20","Male","Other","Second Year","7.0 – 7.9","Never","Heavy coursework","Calm and confident","Very low","Lack of preparation","Rarely","Take a break before starting","Relaxed","Not at all","Never","Mentally tired","Very confident","Frustration","Occasionally","I study randomly","Can't mention that","30–60 minutes","Occasionally","Distractions","Reading textbooks, Making notes","No effect","Talking with family, Listening to music, Sleeping","I handle it alone",4,4,4,4,"Neutral",5,2,3,5,1
"21-23","Male","Engineering/Technology","Second Year","8.0 – 8.9","Sometimes","Heavy coursework","Slightly pressured","Moderate","Difficult subjects, Lack of preparation","Sometimes","Make a study plan","Relaxed","Not at all","Rarely","Slightly stressed","Confident","Determination","Several times a week","I study randomly","lethargy and other chores","1–2 hours","Weekly","Poor time management","Making notes, Group study, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with friends, Exercise or sports, Listening to music, Watching movies or entertainment, Social Media, Sleeping","Friends",2,2,4,4,"Motivated",3,4,2,1,3
"Below 18","Female","Engineering/Technology","First year","8.0 – 8.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Moderate","Competition with classmates","Sometimes","Make a study plan","Extremely anxious","Moderately","Often","Slightly stressed","Not very confident","Lack of motivation","Only before exams","I plan but sometimes fail to follow it","Social media","1–2 hours","After every class","Too many assignments","Watching online lectures","Slightly negatively","Listening to music","Online resources",1,1,1,1,"Motivated",3,3,2,4,3
"21-23","Female","Science","Second Year","7.0 – 7.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Moderate","Lack of preparation, Expectations from family","Sometimes","Start working immediately","Relaxed","Moderately","Rarely","Slightly stressed","Confident","Fear","Several times a week","I study randomly","Social media","Less than 30 minutes","Weekly","Poor time management","Making notes, Watching online lectures","Slightly negatively","Talking with friends, Talking with family","Online resources",3,2,3,3,"Neutral",3,4,3,1,3
"21-23","Female","Science","Second Year","7.0 – 7.9","Sometimes","Expectations from parents/teachers","Stressed","High","Difficult subjects, Competition with classmates, Expectations from family, Fear of failing","Often","Feel overwhelmed and delay work","Anxious","Slightly","Often","Mentally tired","Neutral","Anxiety, Frustration, Fear, Lack of motivation, Determination","Several times a week","I study randomly","Friends & Family","30–60 minutes","Occasionally","Lack of motivation","Making notes, Using AI tools (e.g., ChatGPT)","No effect","Talking with friends, Listening to music, Watching movies or entertainment, Social Media, Sleeping","Friends",4,4,4,4,"Neutral",1,4,3,2,1
"18-20","Female","Science","Second Year","7.0 – 7.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Moderate","Lack of preparation, Expectations from family","Sometimes","Take a break before starting","Relaxed","Not at all","Sometimes","Slightly stressed","Not very confident","Fear, Determination","Several times a week","I plan but sometimes fail to follow it","Social media","Less than 30 minutes","After every class","Too many assignments","Making notes, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with friends, Exercise or sports, Social Media","Online resources",3,1,3,1,"Motivated",3,4,2,4,3
"18-20","Female","Engineering/Technology","Second Year","8.0 – 8.9","Rarely","Assignments and deadlines","Slightly pressured","Moderate","Tight deadlines","Sometimes","Start working immediately","Slightly nervous","Not at all","Never","Motivated","Very confident","Frustration","Occasionally","I study randomly","Mobile phone notifications","30–60 minutes","Occasionally","Distractions","Making notes, Using AI tools (e.g., ChatGPT)","Positively (motivates me)","Listening to music, Watching movies or entertainment, Social Media, Sleeping","I handle it alone",3,4,2,1,"Very motivated",3,2,5,5,2
"18-20","Female","Engineering/Technology","Second Year","6.0 – 6.9","Never","Heavy coursework","Slightly pressured","Moderate","Tight deadlines","Never","Start working immediately","Slightly nervous","Not at all","Never","Motivated","Neutral","Fear","Daily","I follow a strict study schedule","Social media","30–60 minutes","After every class","Poor time management","Watching online lectures","No effect","Talking with friends","Friends",1,1,2,2,"Very motivated",3,1,5,2,1
"Below 18","Male","Arts","First year","Below 6.0","Never","Competition with classmates","Calm and confident","Very High","Tight deadlines","Never","Take a break before starting","Relaxed","Strongly","Often","Slightly stressed","Very confident","Anxiety","Daily","I follow a strict study schedule","Mobile phone notifications","1–2 hours","Weekly","Lack of motivation","Reading textbooks","Positively (motivates me)","Talking with family","Online resources",1,2,3,3,"Very motivated",4,1,5,5,2
"21-23","Female","Science","Second Year","8.0 – 8.9","Sometimes","Exams","Slightly pressured","Very low","Tight deadlines, Lack of preparation, Fear of failing","Always","Make a study plan","Slightly nervous","Not at all","Rarely","Mentally tired","Very confident","Determination","Occasionally","I plan but sometimes fail to follow it","Online entertainment","Less than 30 minutes","Occasionally","Distractions","Watching online lectures, Using AI tools (e.g., ChatGPT)","No effect","Watching movies or entertainment, Sleeping","I handle it alone",3,4,4,4,"Very motivated",5,2,5,5,1
"21-23","Male","Engineering/Technology","Second Year","Below 6.0","Sometimes","Heavy coursework","Slightly pressured","High","Tight deadlines, Difficult subjects, Fear of failing","Sometimes","Start working immediately","Slightly nervous","Slightly","Often","Mentally tired","Confident","Determination","Daily","I plan but sometimes fail to follow it","Online entertainment","30–60 minutes","Occasionally","Poor time management","Reading textbooks, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with friends, Talking with family, Exercise or sports, Listening to music, Watching movies or entertainment, Social Media, Sleeping","I handle it alone",1,3,2,1,"Motivated",1,1,2,1,3
"18-20","Female","Other","Second Year","7.0 – 7.9","Sometimes","Assignments and deadlines","Stressed","Moderate","Lack of preparation","Often","Make a study plan","Slightly nervous","Slightly","Sometimes","Emotionally drained","Neutral","Determination","Several times a week","I study randomly","Social media","30–60 minutes","After every class","Poor time management","Making notes","No effect","Exercise or sports","Online resources",4,3,3,3,"Very motivated",3,4,5,2,1
"Above 23","Male","Other","Second Year","Below 6.0","Always","Heavy coursework","Calm and confident","Very High","Lack of preparation","Always","Make a study plan","Relaxed","Moderately","Very often","Mentally tired","Not very confident","Anxiety, Lack of motivation","Several times a week","I plan but sometimes fail to follow it","Social media","Less than 30 minutes","Occasionally","Poor time management","Making notes","Very negatively","Talking with friends","I handle it alone",3,2,1,3,"Very motivated",4,4,5,4,4
"18-20","Female","Science","Second Year","6.0 – 6.9","Often","Exams","Slightly pressured","High","Difficult subjects, Lack of preparation, Expectations from family","Often","Make a study plan","Anxious","Slightly","Sometimes","Mentally tired","Neutral","Frustration","Occasionally","I study randomly","Random thoughts ","More than 2 hours","Occasionally","Lack of motivation","Making notes, Using AI tools (e.g., ChatGPT)","Slightly negatively","Listening to music, Watching movies or entertainment, Social Media, Sleeping","I handle it alone",1,2,4,2,"Neutral",1,2,3,2,3
"21-23","Male","Engineering/Technology","Second Year","9.0 and above","Sometimes","Assignments and deadlines","Slightly pressured","High","Tight deadlines","Sometimes","Take a break before starting","Anxious","Slightly","Sometimes","Slightly stressed","Not very confident","Frustration","Occasionally","I plan but sometimes fail to follow it","Mobile phone notifications","30–60 minutes","Weekly","Too many assignments","Reading textbooks","Slightly negatively","Exercise or sports","Family",2,2,2,2,"Neutral",1,2,3,4,3
"21-23","Female","Engineering/Technology","Second Year","8.0 – 8.9","Always","Heavy coursework","Stressed","Moderate","Difficult subjects, Lack of preparation, Fear of failing","Often","Start working immediately","Slightly nervous","Slightly","Sometimes","Mentally tired","Neutral","Anxiety, Lack of motivation, Determination","Daily","I study randomly","Mobile phone notifications","30–60 minutes","Occasionally","Too many assignments","Making notes, Using AI tools (e.g., ChatGPT)","No effect","Sleeping","I handle it alone",3,3,4,1,"Motivated",3,1,2,2,1
"21-23","Male","Engineering/Technology","Second Year","6.0 – 6.9","Sometimes","Assignments and deadlines","Slightly pressured","Moderate","Lack of preparation","Sometimes","Take a break before starting","Slightly nervous","Slightly","Often","Slightly stressed","Confident","Lack of motivation","Several times a week","I plan but sometimes fail to follow it","Friends & Family","30–60 minutes","Weekly","Poor time management","Making notes, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Exercise or sports","Teachers",3,3,3,2,"Neutral",3,4,3,1,3
"18-20","Female","Engineering/Technology","Second Year","8.0 – 8.9","Sometimes","Expectations from parents/teachers","Stressed","High","Difficult subjects, Fear of failing","Often","Take a break before starting","Slightly nervous","Moderately","Sometimes","Mentally tired","Neutral","Lack of motivation","Occasionally","I study randomly","Friends & Family","1–2 hours","Occasionally","Too many assignments","Reading textbooks","Slightly negatively","Talking with family, Listening to music","I handle it alone",2,2,2,2,"Neutral",1,2,3,2,3
"18-20","Male","Engineering/Technology","Second Year","8.0 – 8.9","Sometimes","Assignments and deadlines","Slightly pressured","Moderate","Difficult subjects, Lack of preparation, Expectations from family","Sometimes","Make a study plan","Relaxed","Slightly","Sometimes","Motivated","Confident","Frustration, Fear, Lack of motivation","Daily","I plan but sometimes fail to follow it","Friends & Family","30–60 minutes","Occasionally","Poor time management","Making notes","Slightly negatively","Exercise or sports, Listening to music, Watching movies or entertainment","Family",2,3,4,4,"Motivated",3,1,2,1,3
"Below 18","Other","Other","Fourth Year","9.0 and above","Sometimes","Competition with classmates","Very stressed","Low","Tight deadlines","Sometimes","Feel overwhelmed and delay work","Relaxed","Strongly","Very often","Emotionally drained","Not confident at all","Determination","Daily","I follow a strict study schedule","Mobile phone notifications","More than 2 hours","Only before exams","Distractions","Hahga","Very negatively","Social Media","Teachers",2,1,1,1,"Not motivated",2,1,4,3,4
"18-20","Male","Engineering/Technology","Second Year","7.0 – 7.9","Never","Heavy coursework","Slightly pressured","Moderate","Lack of preparation","Rarely","Take a break before starting","Slightly nervous","Slightly","Rarely","Slightly stressed","Neutral","Lack of motivation, Determination","Occasionally","I study randomly","Social media","30–60 minutes","Occasionally","Distractions","Making notes, Watching online lectures, Using AI tools (e.g., ChatGPT)","No effect","Talking with friends, Talking with family, Exercise or sports","I handle it alone",3,3,4,3,"Motivated",3,2,2,2,1
"Above 23","Male","Engineering/Technology","Fourth Year","9.0 and above","Never","Exams","Slightly pressured","Moderate","Tight deadlines, Difficult subjects","Sometimes","Make a study plan","Slightly nervous","Not at all","Sometimes","Slightly stressed","Very confident","Anxiety, Fear","Several times a week","I plan but sometimes fail to follow it","Friends & Family","30–60 minutes","Only before exams","Distractions","Group study, Watching online lectures","Positively (motivates me)","Talking with friends, Exercise or sports","Friends",4,4,4,4,"Very motivated",3,4,5,5,2
"21-23","Male","Engineering/Technology","Second Year","7.0 – 7.9","Sometimes","Assignments and deadlines","Slightly pressured","Moderate","Lack of preparation","Sometimes","Make a study plan","Slightly nervous","Slightly","Sometimes","Slightly stressed","Neutral","Frustration","Several times a week","I follow a strict study schedule","Mobile phone notifications","30–60 minutes","Weekly","Lack of motivation","Making notes","Slightly negatively","Listening to music","Teachers",1,1,2,4,"Neutral",3,4,3,2,3
"21-23","Female","Management","Third Year","6.0 – 6.9","Often","Expectations from parents/teachers","Stressed","High","Tight deadlines, Difficult subjects, Lack of preparation","Often","Feel overwhelmed and delay work","Extremely anxious","Strongly","Very often","Mentally tired","Not very confident","Lack of motivation, Determination","Only before exams","I study only during exams","Online entertainment","Less than 30 minutes","Only before exams","Distractions","Watching online lectures, Using AI tools (e.g., ChatGPT)","Very negatively","Talking with friends, Talking with family","Friends",1,2,3,4,"Not motivated",1,3,4,4,4
"Above 23","Male","Arts","Third Year","9.0 and above","Sometimes","Assignments and deadlines","Slightly pressured","Moderate","Difficult subjects, Competition with classmates","Sometimes","Start working immediately","Anxious","Slightly","Rarely","Slightly stressed","Confident","Anxiety, Lack of motivation","Several times a week","I follow a strict study schedule","Mobile phone notifications","1–2 hours","After every class","Too many assignments","Reading textbooks, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with friends, Listening to music, Social Media","Family",1,2,3,4,"Motivated",3,4,2,1,3
"21-23","Female","Management","Third Year","8.0 – 8.9","Often","Expectations from parents/teachers","Stressed","High","Lack of preparation, Expectations from family, Fear of failing","Often","Feel overwhelmed and delay work","Anxious","Moderately","Often","Emotionally drained","Not very confident","Frustration, Lack of motivation","Occasionally","I study randomly","Friends & Family","30–60 minutes","Only before exams","Too many assignments","Making notes, Group study","Very negatively","Talking with friends, Listening to music, Social Media, Sleeping","Teachers",2,3,1,4,"Not motivated",1,2,4,4,4
"Above 23","Male","Commerce","First year","Below 6.0","Always","Competition with classmates","Very stressed","High","Difficult subjects, Competition with classmates, Fear of failing","Often","Take a break before starting","Extremely anxious","Strongly","Often","Mentally tired","Neutral","Anxiety, Frustration","Only before exams","I study only during exams","Online entertainment","1–2 hours","Weekly","Distractions","Group study, Watching online lectures, Using AI tools (e.g., ChatGPT)","Very negatively","Exercise or sports, Watching movies or entertainment","Online resources",4,3,2,1,"Neutral",1,3,3,2,4
"Above 23","Female","Science","First year","6.0 – 6.9","Rarely","Exams","Calm and confident","Very low","Tight deadlines","Never","Start working immediately","Relaxed","Slightly","Often","Motivated","Very confident","Fear, Lack of motivation","Only before exams","I plan but sometimes fail to follow it","Mobile phone notifications","More than 2 hours","Occasionally","Lack of motivation","Reading textbooks, Group study","No effect","Exercise or sports, Watching movies or entertainment, Social Media","Online resources",4,2,3,1,"Less motivated",5,3,1,5,1
"Below 18","Male","Commerce","Third Year","7.0 – 7.9","Always","Competition with classmates","Slightly pressured","Very low","Difficult subjects, Competition with classmates","Sometimes","Feel overwhelmed and delay work","Extremely anxious","Strongly","Very often","Emotionally drained","Not confident at all","Lack of motivation","Occasionally","I study randomly","Online entertainment","1–2 hours","Only before exams","Too many assignments","Reading textbooks, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with friends, Exercise or sports","Friends",3,4,2,1,"Less motivated",5,2,1,3,3
"Below 18","Male","Engineering/Technology","Fourth Year","7.0 – 7.9","Always","Competition with classmates","Stressed","Very low","Difficult subjects, Lack of preparation","Rarely","Feel overwhelmed and delay work","Relaxed","Strongly","Rarely","Motivated","Very confident","Anxiety","Only before exams","I study randomly","Online entertainment","Less than 30 minutes","Occasionally","Lack of motivation","Making notes, Group study","Very negatively","Talking with friends, Talking with family, Sleeping","Friends",1,3,4,2,"Neutral",5,3,3,5,4
"21-23","Female","Management","Third Year","6.0 – 6.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Very low","Difficult subjects, Lack of preparation, Competition with classmates","Sometimes","Feel overwhelmed and delay work","Slightly nervous","Not at all","Rarely","Motivated","Neutral","Fear, Lack of motivation","Several times a week","I plan but sometimes fail to follow it","Online entertainment","1–2 hours","Occasionally","Lack of motivation","Making notes, Watching online lectures","No effect","Talking with friends, Listening to music","Friends",4,2,3,1,"Neutral",5,4,3,2,1
